#Name	Title	DatasetName	Luminosity(/fb)
SingleMuon_Run2017B	SingleMuon	/SingleMuon/Run2017B-31Mar2018-v1/MINIAOD	4.77
SingleMuon_Run2017C	SingleMuon	/SingleMuon/Run2017C-31Mar2018-v1/MINIAOD	9.58
SingleMuon_Run2017D	SingleMuon	/SingleMuon/Run2017D-31Mar2018-v1/MINIAOD	4.22
SingleMuon_Run2017E	SingleMuon	/SingleMuon/Run2017E-31Mar2018-v1/MINIAOD	9.26
SingleMuon_Run2017F	SingleMuon	/SingleMuon/Run2017F-31Mar2018-v1/MINIAOD	13.46

SingleElectron_Run2017B	SingleElectron	/SingleElectron/Run2017B-31Mar2018-v1/MINIAOD	4.77
SingleElectron_Run2017C	SingleElectron	/SingleElectron/Run2017C-31Mar2018-v1/MINIAOD	9.58
SingleElectron_Run2017D	SingleElectron	/SingleElectron/Run2017D-31Mar2018-v1/MINIAOD	4.22
SingleElectron_Run2017E	SingleElectron	/SingleElectron/Run2017E-31Mar2018-v1/MINIAOD	9.26
SingleElectron_Run2017F	SingleElectron	/SingleElectron/Run2017F-31Mar2018-v1/MINIAOD	13.46
